"","x"
"1","107321"
"2","115825"
"3","123117"
"4","130114"
"5","130518"
"6","132017"
"7","138837"
"8","141422"
"9","150423"
"10","158136"
"11","160830"
"12","161832"
"13","165032"
"14","178647"
"15","178950"
"16","182436"
"17","197449"
"18","203418"
"19","204319"
"20","317332"
"21","346945"
"22","393550"
"23","448347"
"24","580650"
"25","594156"
"26","765864"
"27","814649"
"28","849971"
"29","877168"
"30","DMCC1328342"
"31","DMCC1596165"
"32","DMCC1971064"
"33","DMCC2442951"
"34","DMCC2803654"
"35","DMCC2834766"
"36","DMCC4191255"
"37","DMCC4260551"
"38","DMCC4854075"
"39","DMCC5195268"
"40","DMCC5775387"
"41","DMCC6418065"
"42","DMCC6484785"
"43","DMCC6671683"
"44","DMCC6705371"
"45","DMCC6721369"
"46","DMCC7921988"
