subj,mic
107321,unknown
115825,micro
123117,micro
130114,micro
130518,micro
132017,micro
138837,micro
141422,micro
150423,micro
158136,micro
160830,unknown
161832,unknown
165032,micro
171330,micro
178243,micro
178647,micro
178950,micro
182436,unknown
197449,micro
203418,micro
204319,micro
233326,micro
300618,micro
317332,micro
346945,micro
352738,micro
393550,micro
448347,fomri
580650,micro
594156,micro
601127,micro
765864,micro
814649,micro
843151,micro
849971,micro
873968,fomri
877168,micro
DMCC1328342,fomri
DMCC1596165,fomri
DMCC1971064,micro
DMCC2442951,fomri
DMCC2803654,micro
DMCC2834766,micro
DMCC3062542,fomri
DMCC4191255,micro
DMCC4260551,unknown
DMCC4854075,micro
DMCC5009144,fomri
DMCC5195268,micro
DMCC5775387,micro
DMCC6371570,fomri
DMCC6418065,micro
DMCC6484785,unknown
DMCC6661074,micro
DMCC6671683,micro
DMCC6705371,micro
DMCC6721369,micro
DMCC6904377,unknown
DMCC7297690,fomri
DMCC7921988,unknown
DMCC8033964,micro
DMCC8050964,fomri
DMCC8078683,unknown
DMCC9441378,fomri
DMCC9478705,micro
DMCC9953810,fomri
