"","subj","nuisance","pc50_c","blueBLUE","redRED","whiteWHITE","redPURPLE","purplePURPLE","pc50_i","purpleBLUE","whiteRED","blueWHITE","redBLUE","whitePURPLE","redWHITE","blueRED","whiteBLUE","purpleRED","bluePURPLE","purpleWHITE"
"1","107321",4,36,27,27,27,3,27,34,2,3,3,3,3,3,3,3,3,3,2
"2","115825",6,36,27,27,27,3,27,33,3,3,3,2,2,3,3,3,3,3,2
"3","123117",6,34,27,26,27,3,27,35,3,3,3,2,3,3,3,2,3,3,3
"4","130114",1,36,27,27,27,3,27,36,3,3,3,3,3,3,3,2,3,3,3
"5","130518",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"6","132017",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"7","138837",8,35,27,27,27,3,27,35,2,2,3,3,3,3,2,3,3,2,1
"8","141422",1,36,27,26,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"9","150423",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"10","158136",4,36,27,27,27,3,27,33,3,3,3,3,3,3,3,3,3,2,3
"11","160830",10,35,26,24,27,3,25,36,3,3,3,2,3,3,2,3,3,3,2
"12","161832",20,31,27,25,27,3,25,30,3,3,3,3,2,1,2,3,3,2,3
"13","165032",15,32,27,27,27,3,26,28,2,3,3,3,2,3,3,3,3,3,3
"14","178647",17,36,26,27,27,3,27,33,2,1,3,3,2,2,1,1,1,2,2
"15","178950",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"16","182436",9,36,27,25,27,3,26,34,2,2,3,3,3,3,2,2,3,3,3
"17","197449",50,29,21,23,20,3,22,29,2,3,3,2,2,2,0,2,1,2,0
"18","203418",2,36,27,27,27,3,27,35,3,3,3,3,3,3,3,3,3,3,2
"19","204319",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"20","233326",4,34,27,26,26,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"21","300618",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"22","317332",2,36,25,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"23","346945",1,36,27,27,27,3,27,35,3,3,3,3,3,3,3,3,3,3,3
"24","352738",4,36,27,27,27,3,27,35,1,3,3,3,3,3,3,3,3,2,3
"25","393550",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"26","448347",4,36,27,27,27,3,26,35,3,2,3,3,3,3,3,3,3,2,3
"27","580650",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"28","594156",5,32,27,27,27,3,27,35,3,3,3,3,3,3,3,3,3,3,3
"29","601127",9,36,26,26,27,3,27,31,3,3,3,3,3,1,3,3,3,3,3
"30","765864",3,36,27,27,27,3,27,35,3,3,3,3,3,2,3,3,2,3,3
"31","814649",15,36,25,24,25,2,27,32,3,3,3,3,3,3,2,3,3,1,3
"32","849971",1,35,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"33","873968",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"34","877168",7,36,27,27,26,3,27,32,3,3,1,3,3,3,3,3,3,3,3
"35","DMCC1328342",3,36,27,27,27,1,27,36,3,3,3,3,3,3,3,3,3,2,3
"36","DMCC1596165",1,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,2,3
"37","DMCC1971064",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"38","DMCC2442951",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"39","DMCC2803654",7,36,27,27,27,3,27,29,3,3,3,3,3,3,3,3,3,3,3
"40","DMCC2834766",2,36,27,27,26,3,27,36,3,3,3,3,3,2,3,3,3,3,3
"41","DMCC3062542",1,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,2
"42","DMCC4191255",4,35,27,26,25,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"43","DMCC4260551",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"44","DMCC4854075",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"45","DMCC5195268",3,36,26,27,27,3,27,34,3,3,3,3,3,3,3,3,3,3,3
"46","DMCC5775387",3,36,27,27,27,3,27,35,3,3,2,3,3,3,3,3,3,2,3
"47","DMCC6371570",4,36,27,27,27,3,27,35,3,3,3,1,2,3,3,3,3,3,3
"48","DMCC6418065",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"49","DMCC6484785",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"50","DMCC6661074",1,36,27,27,27,3,27,35,3,3,3,3,3,3,3,3,3,3,3
"51","DMCC6671683",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"52","DMCC6705371",2,36,27,27,27,3,27,36,3,3,3,3,3,2,3,3,3,3,2
"53","DMCC6721369",2,36,27,27,27,3,27,36,2,3,3,3,3,3,3,2,3,3,3
"54","DMCC7297690",1,36,27,26,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"55","DMCC7921988",5,36,27,27,27,3,27,35,2,3,3,3,3,3,2,2,3,2,3
"56","DMCC8050964",1,36,27,27,27,2,27,36,3,3,3,3,3,3,3,3,3,3,3
"57","DMCC8078683",2,35,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,2,3
"58","DMCC9441378",2,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,2,3,2
"59","DMCC9478705",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
"60","DMCC9953810",0,36,27,27,27,3,27,36,3,3,3,3,3,3,3,3,3,3,3
